severity,finding_type,chunk_id,document_id,chars,message
review,short_chunk,DP-004_chunk_008,DP-004,63,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,BI-004_chunk_001,BI-004,64,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,UN-001_chunk_001,UN-001,52,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,UN-001_chunk_003,UN-001,60,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_chunk_000,MT-010,76,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_chunk_002,MT-010,78,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_chunk_003,MT-010,79,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-013_chunk_001,MT-013,62,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-013_chunk_006,MT-013,79,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-015_chunk_000,MT-015,67,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-015_chunk_001,MT-015,48,짧지만 독립 사실일 수 있어 검토 필요
warning,large_chunk,DA-001_chunk_003,DA-001,1209,1200자 초과 청크
review,short_chunk,DA-002_chunk_000,DA-002,78,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-003_chunk_000,DA-003,64,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-003_chunk_001,DA-003,76,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-004_chunk_003,DA-004,76,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-004_chunk_004,DA-004,45,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-004_chunk_008,DA-004,65,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-005_chunk_003,DA-005,72,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-005_chunk_012,DA-005,69,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-006_chunk_000,DA-006,80,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-006_chunk_003,DA-006,36,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-006_chunk_004,DA-006,73,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-006_chunk_005,DA-006,75,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-007_chunk_000,DA-007,56,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,DA-008_chunk_005,DA-008,75,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,HP-001_chunk_001,HP-001,99,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,HP-002_chunk_008,HP-002,69,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_rule_layer01_chunk_009,MT-010_rule_layer01,73,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_rule_layer01_chunk_035,MT-010_rule_layer01,74,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_rule_layer01_chunk_036,MT-010_rule_layer01,33,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_rule_layer01_chunk_037,MT-010_rule_layer01,71,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_rule_layer01_chunk_040,MT-010_rule_layer01,10,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_rule_layer01_chunk_041,MT-010_rule_layer01,10,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_operation_layer01_chunk_001,MT-010_operation_layer01,48,짧지만 독립 사실일 수 있어 검토 필요
review,short_chunk,MT-010_operation_layer01_chunk_017,MT-010_operation_layer01,33,짧지만 독립 사실일 수 있어 검토 필요
